# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.6

-worldeditapi::baseblock7, javatype, 810474797065208029636F6D2E736B3839712E776F726C64656469742E776F726C642E626C6F636B2E42617365426C6F636B
-worldeditapi::blockvector3, javatype, 810474797065208025636F6D2E736B3839712E776F726C64656469742E6D6174682E426C6F636B566563746F7233
-worldeditapi::builtinclipboardformat, javatype, 81047479706520803E636F6D2E736B3839712E776F726C64656469742E657874656E742E636C6970626F6172642E696F2E4275696C74496E436C6970626F617264466F726D6174
-worldeditapi::bukkitadapter, javatype, 810474797065208028636F6D2E736B3839712E776F726C64656469742E62756B6B69742E42756B6B697441646170746572
-worldeditapi::clipboardformat, javatype, 810474797065208037636F6D2E736B3839712E776F726C64656469742E657874656E742E636C6970626F6172642E696F2E436C6970626F617264466F726D6174
-worldeditapi::clipboardformats, javatype, 810474797065208038636F6D2E736B3839712E776F726C64656469742E657874656E742E636C6970626F6172642E696F2E436C6970626F617264466F726D617473
areapos1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C075A800000000000179094065700000000000017A09406FF000000000000570697463680800000000037961770800000000
areapos2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C074E800000000000179094063D00000000000017A0940722800000000000570697463680800000000037961770800000000
bluekills, long, 0000000000000002
bluemonumenthealth, long, 0000000000000024
bluemonumentpos1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C070D800000000000179094052200000000000017A09406F7000000000000570697463680800000000037961770800000000
bluemonumentpos2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C070F800000000000179094051600000000000017A09406F3000000000000570697463680800000000037961770800000000
bluespawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C07547DF07EB40330179094064E00000000000017A094071FB33333000000570697463680840ACC88E03796177084333AD60
countdown, boolean, 00
loadloc, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C075A800000000000179094065700000000000017A09406FF000000000000570697463680800000000037961770800000000
redcenter, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0717800000000000179094051A00000000000017A09406F5000000000000570697463680800000000037961770800000000
redkills, long, 0000000000000001
redmonumenthealth, long, 0000000000000024
redmonumentpos1, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0716800000000000179094052200000000000017A09406F7000000000000570697463680800000000037961770800000000
redmonumentpos2, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C0718800000000000179094051600000000000017A09406F3000000000000570697463680800000000037961770800000000
redready, boolean, 01
redspawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C075482325ED94E30179094064E00000000000017A09407014CCCCD00000057069746368084081955903796177083DD60000
specspawn, location, 8605776F726C6480FF0000000181046E616D65208005776F726C64017809C076167C9686FCC10179094064800000000000017A0940710837C7937CB505706974636808419D32310379617708C2B6FF60
team.b0xey, string, 8006C2A763526564
team.bqlt, string, 8007C2A7374E6F6E65
timeleft, long, 0000000000000000

